x/sigmax r=0.01 r=0.1 r=1 r=10 r=0.5 r=0.2
-0.12 -0.663770706860496 -0.595804656210967 -0.28560517902331 -0.041999559685258    -0.404963616484981  -0.534097027537937
-0.06 -0.333226041846143 -0.299064457976051 -0.14326578147874 -0.021057416170859    -0.203190692030533  -0.268056206163692
0.e-16 0.e-16 0.e-16 0.e-16 0.e-16  0.e-16  0.e-16
0.06 0.333226041846143 0.299064457976051 0.14326578147874 0.021057416170859 0.203190692030533   0.268056206163692
0.12 0.663770706860496 0.595804656210967 0.28560517902331 0.041999559685258 0.404963616484981   0.534097027537937
0.18 0.988992560397988 0.887930029089557 0.426103679916632 0.062712539763046    0.603920034396653   0.796135576718283
0.24 1.306329178181095 1.173216678614546 0.563870282246206 0.08308520335504 0.798698880796756   1.052241363812227
0.3 1.613334491738438 1.449538927054032 0.698048677337767 0.103010439625793 0.98799465399949    1.300567018688131
0.36 1.907713611995207 1.714898788659421 0.827827761518514 0.122386409033512    1.170574196227782   1.539373287423374
0.42 2.187354404122673 1.967452758784215 0.952451281204987 0.141117674902202    1.345292042652145   1.767051802651729
0.48 2.450355178978433 2.205535393395761 1.071226437749134 0.159116217849941    1.51110405385146    1.982145188416983
0.54 2.695047975449276 2.427679240290939 1.183531305108291 0.176302316370042    1.667079091686354   2.18336413225014
0.6 2.920017029942837 2.63263078227548 1.288820943370137 0.192605280165159  1.812408549124088   2.369601138065824
0.66 3.124112159972881 2.819362158803803 1.38663212350862 0.207964026404726 1.946413599030364   2.539940760428568
0.72 3.306456923840377 2.987078542582043 1.476586612460588 0.222327492803514    2.068550083615264   2.693666210931879
0.78 3.466451553384448 3.135221157851477 1.558393001666119 0.235654885191649    2.178411023326243   2.830262317985373
0.84 3.603770787354928 3.263466034031539 1.631847095598077 0.247915760953811    2.275726779796318   2.94941490941305
0.9 3.718356855131888 3.371718688876445 1.696830908563062 0.259089953253355 2.360362960355413   3.051006770299988
