x/sigmax r=0.01 r=0.1 r=1 r=10 r=0.5 r=0.2
-6. -8.34367826661736 -4.581080133634243 -0.249654197553638 -0.00273831434606   -0.816988460289062  -2.648632267694479
-5.94 -8.349828474208916 -4.609509684808308 -0.254723181057423 -0.002799914469482   -0.830778505363623  -2.676229646713224
-5.88 -8.355984471542227 -4.638171708625003 -0.259948124572655 -0.002863718387718   -0.844904441788756  -2.704217200788992
-5.82 -8.362146263718687 -4.667068493775962 -0.26533549114963 -0.002929839260963    -0.859376806192352  -2.73260170864701
-5.76 -8.368313855258783 -4.696202340380148 -0.270892081693457 -0.002998398278286   -0.874206535191327  -2.761390085971787
-5.7 -8.374487249942403 -4.725575612977874 -0.27662505623096 -0.003069525407091 -0.889404982939653  -2.790589388366123
-5.64 -8.380666408293182 -4.755190665284582 -0.282541956707611 -0.003143360290391   -0.904983939497288  -2.820206814308904
-5.58 -8.38685145840433 -4.785049887977979 -0.288650731427132 -0.003220053220671    -0.920955650045746  -2.850249708098781
-5.52 -8.393042273042727 -4.815155697122241 -0.29495976125277 -0.003299766259782    -0.937332834971576  -2.880725562754467
-5.46 -8.399238891376589 -4.845510533844831 -0.301477887690525 -0.003382674507986   -0.954128710832561  -2.91164202284655
-5.4 -8.405441306887491 -4.876116863797881 -0.308214442984485 -0.003468967548189    -0.97135701221255   -2.943006887126579
-5.34 -8.411649508429955 -4.906977176335604 -0.315179282347658 -0.003558851092629   -0.989032014458825  -2.974828111096769
-5.28 -8.41786347868366 -4.938093983149138 -0.322382818457214 -0.003652548863208    -1.007168557279965  -3.007113809165015
-5.22 -8.424083192064813 -4.969469817262468 -0.329836058335435 -0.003750304741345   -1.025782069163331  -3.039872256447583
-5.16 -8.430308612106735 -5.001107229689095 -0.337550642729865 -0.003852385228043   -1.044888592531175  -3.073111890056415
-5.1 -8.436539687925201 -5.033008787008449 -0.345538888091861 -0.003959082260199    -1.064504809560603  -3.106841309642039
-5.04 -8.442776349695286 -5.065177067035883 -0.353813831231502 -0.004070716435243   -1.084648068483081  -3.141069277032294
-4.98 -8.449018502794502 -5.097614653348439 -0.362389276696976 -0.004187640701677   -1.105336410192324  -3.175804714614534
-4.92 -8.455266020269455 -5.130324128137797 -0.37127984688606 -0.004310244579751    -1.126588594885058  -3.211056702171815
